Nodes,Levels,Times,Scenarios,NumCars
26,11,0,0,0.0
26,11,0,1,0.0
26,11,0,2,0.0
26,11,0,3,0.0
26,11,0,4,0.0
26,11,0,5,0.0
26,11,0,6,0.0
26,11,0,7,0.0
26,11,0,8,0.0
26,11,0,9,0.0
26,11,0,10,0.0
26,11,0,11,0.0
26,11,0,12,0.0
26,11,0,13,0.0
26,11,0,14,0.0
26,11,0,15,0.0
26,11,0,16,0.0
26,11,0,17,0.0
26,11,0,18,0.0
26,11,0,19,0.0
26,11,1,0,0.0
26,11,1,1,0.0
26,11,1,2,0.0
26,11,1,3,0.0
26,11,1,4,0.0
26,11,1,5,0.0
26,11,1,6,0.0
26,11,1,7,0.0
26,11,1,8,0.0
26,11,1,9,0.0
26,11,1,10,0.0
26,11,1,11,0.0
26,11,1,12,0.0
26,11,1,13,0.0
26,11,1,14,0.0
26,11,1,15,0.0
26,11,1,16,0.0
26,11,1,17,0.0
26,11,1,18,0.0
26,11,1,19,0.0
26,11,2,0,0.0229429629629629
26,11,2,1,0.0229429629629629
26,11,2,2,0.0229429629629629
26,11,2,3,0.0229429629629629
26,11,2,4,0.0229429629629629
26,11,2,5,0.0229429629629629
26,11,2,6,0.0229429629629629
26,11,2,7,0.0229429629629629
26,11,2,8,0.0229429629629629
26,11,2,9,0.0229429629629629
26,11,2,10,0.0229429629629629
26,11,2,11,0.0229429629629629
26,11,2,12,0.0229429629629629
26,11,2,13,0.0229429629629629
26,11,2,14,0.0229429629629629
26,11,2,15,0.0229429629629629
26,11,2,16,0.0229429629629629
26,11,2,17,0.0229429629629629
26,11,2,18,0.0229429629629629
26,11,2,19,0.0229429629629629
26,11,3,0,0.0514985185185184
26,11,3,1,0.0514985185185184
26,11,3,2,0.0514985185185184
26,11,3,3,0.0514985185185184
26,11,3,4,0.0514985185185184
26,11,3,5,0.0514985185185184
26,11,3,6,0.0514985185185184
26,11,3,7,0.0514985185185184
26,11,3,8,0.0514985185185184
26,11,3,9,0.0514985185185184
26,11,3,10,0.0514985185185184
26,11,3,11,0.0514985185185184
26,11,3,12,0.0514985185185184
26,11,3,13,0.0514985185185184
26,11,3,14,0.0514985185185184
26,11,3,15,0.0514985185185184
26,11,3,16,0.0514985185185184
26,11,3,17,0.0514985185185184
26,11,3,18,0.0514985185185184
26,11,3,19,0.0514985185185184
26,11,4,0,0.4207318518518517
26,11,4,1,0.4207318518518517
26,11,4,2,0.4207318518518516
26,11,4,3,0.0514985185185184
26,11,4,4,0.4207318518518517
26,11,4,5,0.4207318518518517
26,11,4,6,0.4207318518518517
26,11,4,7,0.4207318518518517
26,11,4,8,0.4207318518518517
26,11,4,9,0.4207318518518517
26,11,4,10,0.4207318518518517
26,11,4,11,0.4207318518518517
26,11,4,12,0.4207318518518517
26,11,4,13,0.4207318518518517
26,11,4,14,0.4207318518518517
26,11,4,15,0.0514985185185184
26,11,4,16,0.0514985185185184
26,11,4,17,0.0514985185185184
26,11,4,18,0.4207318518518517
26,11,4,19,0.4207318518518517
26,11,5,0,0.4207318518518517
26,11,5,1,0.4207318518518517
26,11,5,2,0.4207318518518516
26,11,5,3,0.7378577777777777
26,11,5,4,0.4207318518518517
26,11,5,5,0.4207318518518517
26,11,5,6,0.4207318518518517
26,11,5,7,0.4207318518518517
26,11,5,8,0.4207318518518517
26,11,5,9,0.4207318518518517
26,11,5,10,0.4207318518518517
26,11,5,11,0.4207318518518517
26,11,5,12,0.4207318518518517
26,11,5,13,0.4207318518518517
26,11,5,14,0.4207318518518517
26,11,5,15,0.4207318518518517
26,11,5,16,0.7378577777777777
26,11,5,17,0.0514985185185184
26,11,5,18,0.4207318518518517
26,11,5,19,0.4207318518518517
26,11,6,0,0.4207318518518517
26,11,6,1,0.4207318518518517
26,11,6,2,0.8406903703703701
26,11,6,3,0.7378577777777777
26,11,6,4,0.8406903703703701
26,11,6,5,0.8406903703703702
26,11,6,6,0.8406903703703702
26,11,6,7,0.8406903703703702
26,11,6,8,0.8406903703703702
26,11,6,9,0.8406903703703702
26,11,6,10,0.4207318518518517
26,11,6,11,0.8406903703703702
26,11,6,12,0.8406903703703702
26,11,6,13,0.8406903703703702
26,11,6,14,0.4207318518518517
26,11,6,15,0.4207318518518517
26,11,6,16,0.7378577777777777
26,11,6,17,0.4207318518518517
26,11,6,18,0.8406903703703702
26,11,6,19,0.4207318518518517
26,11,7,0,0.4207318518518517
26,11,7,1,0.4207318518518517
26,11,7,2,1.2215377777777774
26,11,7,3,0.7378577777777777
26,11,7,4,1.218039259259249
26,11,7,5,1.199128148148148
26,11,7,6,1.1991281481481484
26,11,7,7,1.1991281481481484
